Page Title;Link;Type;Industry;Industry 2;Industry 3;Technolgy;Technology 2;Technology 3;Business;Business 2;Business 3;Business 4;Trending;Trending 2;Trending 3;Trending 4
What about the 'care'-metric?;https://www.delaware.pro/en-BE/Discover/Blog/what-about-the-care-metric;Blogs;None;;;None;;;None;;;;None;;;
The 10 commandments of organizing a business game;https://www.delaware.pro/en-BE/Discover/Blog/organizing-a-business-game;Blogs;All;;;None;;;HR;Strategy;;;None;;;
Password hygiene: a necessary skill in the digital age;https://www.delaware.pro/en-BE/Discover/Blog/password-hygiene;Blogs;All;;;None;;;IT;HR;;;None;;;
Pepper is dressing up for Hype-O-Dream;https://www.delaware.pro/en-BE/Discover/Blog/pepper-is-dressing-up-for-hype-o-dream;Blogs;None;;;None;;;IT;;;;Artificial Intelligence;;;
#peopleofdelaware care for people with disabilities;https://www.delaware.pro/en-BE/Discover/Blog/peopleofdelaware-care-for-people-with-disabilities;Blogs;None;;;None;;;None;;;;None;;;
Preparing for GDPR made easier with the support of delaware and SAP;https://www.delaware.pro/en-BE/Discover/Blog/preparing-for-gdpr-made-easier-with-delaware-and-sap;Blogs;All;;;SAP;;;All;;;;None;;;
SuccessFactors release notes made simple;https://www.delaware.pro/en-BE/Discover/Blog/successfactors-release-notes-made-simple;Blogs;All;;;SAP;;;HR;;;;None;;;
The bedrock of sustainability at delaware;https://www.delaware.pro/en-BE/Discover/Blog/the-bedrock-of-sustainability-at-delaware;Blogs;None;;;None;;;HR;;;;None;;;
The next-generation fusion organization: why the IT department must go;https://www.delaware.pro/en-BE/Discover/Blog/the-next-generation-fusion-organization-why-the-it-department-must-go;Blogs;All;;;None;;;IT;Strategy;;;None;;;
7 challenges of robotics and AI in the workplace;https://www.delaware.pro/en-BE/Discover/Blog/the-future-of-hr;Blogs;All;;;None;;;HR;;;;Artificial Intelligence;Virtual Reality;;
Unlocking the business value of APIs;https://www.delaware.pro/en-BE/Discover/Blog/unlocking-the-business-value-of-apis;Blogs;All;;;None;;;IT;;;;None;;;
Want to spread happiness? Try communicating!;https://www.delaware.pro/en-BE/Discover/Blog/want-to-spread-hapiness-try-communicating;Blogs;All;;;None;;;HR;IT;Marketing;;None;;;
What does a solid e-invoicing solution look like?;https://www.delaware.pro/en-BE/Discover/Blog/what-does-a-solid-e-invoicing-solution-look-like;Blogs;All;;;SAP;;;Finance;;;;None;;;
Why an arranged marriage between Finance and Supply Chain is a good thing;https://www.delaware.pro/en-BE/Discover/Blog/why-an-arranged-marriage-between-finance-and-supply-chain-is-a-good-thing;Blogs;All;;;SAP;Microsoft;;Finance;Operations;;;None;;;
Will Pepper seduce your customers?;https://www.delaware.pro/en-BE/Discover/Blog/will-pepper-seduce-your-customers;Blogs;Retail;;;None;;;IT;Marketing;;;Artificial Intelligence;;;
Will we replace the 'human' in human resources?;https://www.delaware.pro/en-BE/Discover/Blog/will-we-replace-the-human-in-human-resources;Blogs;All;;;None;;;HR;IT;;;Chatbots;;;
Why we should introduce network thinking in IT change communication projects;https://www.delaware.pro/en-BE/Discover/Blog/why-we-should-introduce-network-thinking-in-it-change-communication-projects;Blogs;All;;;None;;;IT;Strategy;;;None;;;
Workplace of the future: a business strategy;https://www.delaware.pro/en-BE/Discover/Blog/workplace-of-the-future;Blogs;All;;;Microsoft;;;HR;IT;;;None;;;
Why you should already start planning your company snow trip now ;https://www.delaware.pro/en-BE/Discover/Blog/why-you-should-already-start-planning-your-company-snow-trip-now;Blogs;None;;;None;;;HR;;;;None;;;
Nurturing a healthy partnership with Alpro;https://www.delaware.pro/en-BE/Discover/Cases/alpro;Cases;Food;;;SAP;;;Operations;IT;;;None;;;
Allnex more agile thanks to 'state of the art' ERP;https://www.delaware.pro/en-BE/Discover/Cases/allnex;Cases;Discrete Manufacturing;;;SAP;;;Operations;;;;None;;;
PSS chooses for the next generation of performance;https://www.delaware.pro/en-BE/Discover/Cases/pss;Cases;Automotive;;;SAP;;;Operations;;;;Internet of Things;;;
Sea, sun and Sandaya in less than three months;https://www.delaware.pro/en-BE/Discover/Cases/sandaya;Cases;Professional Services;;;Episerver;;;Marketing;;;;None;;;
TNT impressed by delaware delivery triangle: time, budget and quality;https://www.delaware.pro/en-BE/Discover/Cases/tnt;Cases;Professional Services;;;Microsoft;;;Finance;;;;None;;;
A solid strategy for security ;https://www.delaware.pro/en-BE/Discover/Cases/g4s;Cases;Professional Services;;;SAP;;;Strategy;;;;None;;;
Optimized collaboration between 48 companies of the Schr‚der group;https://www.delaware.pro/en-BE/Discover/Cases/schreder-nl;Cases;Enigneering & Projects;Professional Services;;Microsoft;;;IT;;;;None;;;
Refurnishing the IT landscape at Associated Weavers;https://www.delaware.pro/en-BE/Discover/Cases/associated-weavers;Cases;Textiles;;;SAP;Microsoft;;Finance;;;;None;;;
AVEVE: Customers first!;https://www.delaware.pro/en-BE/Discover/Cases/aveve;Cases;Retail;;;Sitecore;;;Marketing;IT;Operations;;None;;;
Brugle: enhancing customer experience;https://www.delaware.pro/en-BE/Discover/Cases/brutextiles;Cases;Textiles;;;Sitecore;;;Marketing;;;;None;;;
Daikin: support for excellence;https://www.delaware.pro/en-BE/Discover/Cases/daikin;Cases;Discrete Manufacturing;Enigneering & Projects;Professional Services;SAP;;;IT;;;;None;;;
delaware: Cloud is the only way forward;https://www.delaware.pro/en-BE/Discover/Cases/delaware;Cases;Professional Services;;;SAP;Microsoft;;Finance;IT;Operations;;Cloud;;;
De Watergroep: making reporting waterproof;https://www.delaware.pro/en-BE/Discover/Cases/de-watergroep;Cases;Utilities;;;SAP;Microsoft;;Finance;;;;None;;;
EMW Group (Earth Moving Worldwide): better equipped for the future;https://www.delaware.pro/en-BE/Discover/Cases/emw-group;Cases;Enigneering & Projects;;;Microsoft;;;Finance;Operations;;;None;;;
Two companies, one cultural fit: about our journey with INEOS;https://www.delaware.pro/en-BE/Discover/Cases/ineos;Cases;Chemicals;;;SAP;;;Finance;Strategy;;;Cloud;;;
Continuous improvement and innovation at Joris Ide;https://www.delaware.pro/en-BE/Discover/Cases/joris-ide;Cases;Discrete Manufacturing;;;SAP;;;Finance;Operations;Strategy;;Cloud;;;
Ordering online at La Lorraine Bakery Group is a piece of cake!;https://www.delaware.pro/en-BE/Discover/Cases/la-lorraine-bakery-group;Cases;Food;;;SAP;;;Marketing;;;;None;;;
Meat&More drives operational excellence;https://www.delaware.pro/en-BE/Discover/Cases/meatandmore;Cases;Food;;;SAP;;;Operations;;;;None;;;
NMBS B-Europe: Disclosing moments on the go;https://www.delaware.pro/en-BE/Discover/Cases/nmbs-beurope;Cases;Professional Services;Utilities;;Sitecore;;;Marketing;;;;None;;;
Quick-Step: a solid base for future-proof customer engagement;https://www.delaware.pro/en-BE/Discover/Cases/quickstep;Cases;Retail;;;SAP;Sitecore;;Marketing;;;;Cloud;;;
SBS Belgium: a clearer view on advertising campaigns on TV;https://www.delaware.pro/en-BE/Discover/Cases/sbs-belgium;Cases;Professional Services;;;Microsoft;;;Finance;Operations;;;Cloud;;;
Real-time results for reporting at TCR;https://www.delaware.pro/en-BE/Discover/Cases/tcr;Cases;Professional Services;;;Microsoft;;;Operations;;;;None;;;
Ghent's University Hospital can focus on the patient;https://www.delaware.pro/en-BE/Discover/Cases/uz-Gent;Cases;Professional Services;;;SAP;;;Operations;Finance;;;None;;;
Wienerberger accelerates its digital transformation to engage its customers ;https://www.delaware.pro/en-BE/Discover/Cases/wienerberger;Cases;Discrete Manufacturing;;;SAP;;;Strategy;Marketing;;;None;;;
delaware Brings Deep SAP and Microsoft Expertise to the M-Files Partner Program;https://www.delaware.pro/en-BE/Discover/News/m-files;News;Professional Services;;;SAP;Microsoft;;IT;;;;None;;;
delaware proud winner of Trends' Gazelle Ambassador 2018 award for West Flanders;https://www.delaware.pro/en-BE/Discover/News/trends-gazelle-ambassador;News;Professional Services;;;None;;;None;;;;None;;;
delaware Belgium strenghtens partner team by two;https://www.delaware.pro/en-BE/Discover/News/delaware-belgium-strengthens-partner-team-by-two;News;Professional Services;;;None;;;IT;;;;None;;;
delaware receives SAP EMEA Partner Excellence Award 2018 for Net-New Names;https://www.delaware.pro/en-BE/Discover/News/sap-partner-excellence-award;News;Professional Services;;;SAP;;;IT;;;;None;;;
delaware wins SAP Pinnacle Award 2017;https://www.delaware.pro/en-BE/Discover/News/delaware-pinnacle-award-winner;News;Professional Services;;;SAP;;;IT;;;;Cloud;;;
delaware awarded Gold Partnership status for Hybris;https://www.delaware.pro/en-BE/Discover/News/delaware-awarded-gold-partnership-status-for-hybris;News;Professional Services;;;SAP;;;IT;;;;None;;;
delaware Belgium donates blood to the Red Cross;https://www.delaware.pro/en-BE/Discover/News/delaware-belgium-donates-blood-to-the-red-cross;News;None;;;None;;;None;;;;None;;;
Delaware Belgium rewarded as SAP VAR Partner with two awards;https://www.delaware.pro/en-BE/Discover/News/sap-awards-2017;News;Professional Services;;;SAP;;;IT;;;;Cloud;;;
delaware 100 per cent in the cloud with SAP S4HANA;https://www.delaware.pro/en-BE/Discover/News/delaware-100-per-cent-in-the-cloud-with-sap-s4hana;News;Professional Services;;;SAP;;;IT;;;;Cloud;;;
delaware at SAPPHIRE NOW;https://www.delaware.pro/en-BE/Discover/News/delaware-at-sapphire;News;Professional Services;;;OpenText;SAP;;IT;;;;None;;;
delaware Belgium starts with Kowo;https://www.delaware.pro/en-BE/Discover/News/delaware-belgium-starts-with-kowo;News;Professional Services;;;None;;;None;;;;Intelligent Apps;;;
delaware Belgium welcomes 70 young graduates;https://www.delaware.pro/en-BE/Discover/News/delaware-belgium-welcomes-70-young-graduates;News;None;;;None;;;None;;;;None;;;
Delaware Consulting becomes delaware;https://www.delaware.pro/en-BE/Discover/News/delaware-consulting-becomes-delaware;News;Professional Services;;;All;;;IT;Strategy;;;None;;;
delaware to build futureproof IT platform of Eandis;https://www.delaware.pro/en-BE/Discover/News/delaware-to-build-eandis-futureproof-it-platform;News;Enigneering & Projects;Professional Services;;SAP;;;Operations;IT;;;None;;;
How delaware Belgium helps shape the future of Ghent;https://www.delaware.pro/en-BE/Discover/News/how-delaware-belgium-helps-shape-the-future-of-ghent;News;Professional Services;;;None;;;None;;;;None;;;
delaware opens new office in Lummen;https://www.delaware.pro/en-BE/Discover/News/new-office-lummen;News;Professional Services;;;None;;;None;;;;None;;;
Delaware Consulting China supports local customers with new office in Taiwan;https://www.delaware.pro/en-BE/Discover/News/taiwan-office;News;Professional Services;;;All;;;None;;;;None;;;
