Page Title;Meta Description;Link;Type;Industry;Industry 2;Industry 3;Technology;Technology 2;Technology 3;Business;Business 2;Business 3;Business 4;Trending;Trending 2;Trending 3;Trending 4
Augmented reality;;https://www.delaware.pro/en-BE/Solutions/Augmented-reality;Services;All;;;None;;;Marketing;HR;Operations;;Augmented Reality;;;
Beacons;;https://www.delaware.pro/en-BE/Solutions/Trending-beacons;Services;All;;;None;;;Operations;HR;;;Beacons;;;
Blockchain;;https://www.delaware.pro/en-be/solutions/blockchain-technology;Services;All;;;SAP;Microsoft;;Finance;Operations;Marketing;IT;Blockchain;;;
Chatbots;;https://www.delaware.pro/en-BE/Solutions/Chatbots;Services;All;;;SAP;Microsoft;;Marketing;HR;;;Chatbots;;;
Cloud;;https://www.delaware.pro/en-be/solutions/cloud-computing;Services;All;;;Microsoft;SAP;;Marketing;Finance;Operations;IT;Cloud;;;
Intelligent apps;;https://www.delaware.pro/en-BE/Solutions/Intelligent-apps;Services;All;;;Microsoft;SAP;;Operations;Finance;;;Intelligent Apps;;;
Internet of things;;https://www.delaware.pro/en-BE/Solutions/Internet-of-Things;Services;All;;;Microsoft;SAP;;IT;Operations;;;Internet of Things;;;
Virtual reality;;https://www.delaware.pro/en-BE/Solutions/Virtual-reality;Services;All;;;None;;;Marketing;HR;Strategy;;Virtual Reality;;;
Becoming a customer-obsessed organization;;https://www.delaware.pro/en-BE/Solutions/How-to-connect-with-your-customer;Services;All;;;Selligent;Aprimo;Inriver;Marketing;Strategy;Operations;;Artificial Intelligence;;;
Customer intelligence;;https://www.delaware.pro/en-BE/Solutions/Customer-intelligence;Services;All;;;SAP;Microsoft;;Marketing;Strategy;;;None;;;
Customer strategy & disruption;;https://www.delaware.pro/en-BE/Solutions/Customer-Strategy-Disruption;Services;All;;;SAP;Microsoft;;Marketing;Strategy;;;None;;;
Digital asset management;;https://www.delaware.pro/en-BE/Solutions/Digital-Asset-Management;Services;All;;;Aprimo;;;Marketing;;;;Artificial Intelligence;;;
Marketing automation;;https://www.delaware.pro/en-BE/Solutions/Marketing-Automation;Services;All;;;Selligent;Aprimo;SAP;Marketing;;;;None;;;
Omnichannel experience & e-commerce;;https://www.delaware.pro/en-BE/Solutions/Omnichannel-experience;Services;All;;;Selligent;SAP;Microsoft;Marketing;;;;None;;;
Product information management;;https://www.delaware.pro/en-BE/Solutions/Product-Information-Management;Services;All;;;Inriver;Aprimo;SAP;Marketing;;;;Artificial Intelligence;;;
GDPR & profile stores;;https://www.delaware.pro/en-BE/Solutions/GDPR-profile-stores;Services;All;;;SAP;;;Operations;Marketing;HR;;None;;;
Being future-proof;;https://www.delaware.pro/en-BE/solutions/future-proof-your-operations;Services;All;;;Microsoft;SAP;;IT;Strategy;Operations;HR;Internet of Things;Artificial Intelligence;;
Application maintenance;;https://www.delaware.pro/en-BE/Solutions/Application-maintenance;Services;All;;;None;;;IT;;;;None;;;
Change communication;;https://www.delaware.pro/en-BE/Solutions/Change-communication;Services;All;;;None;;;IT;Strategy;;;None;;;
Digital transformation;;https://www.delaware.pro/en-BE/Solutions/Digital-transformation-strategy;Services;All;;;None;;;Strategy;;;;None;;;
Enterprise asset management;;https://www.delaware.pro/en-BE/Solutions/Enterprise-Asset-Management;Services;All;;;Microsoft;SAP;OpenText;Operations;;;;Internet of Things;Artificial Intelligence;;
Industry 4.0;;https://www.delaware.pro/en-BE/Solutions/industry-4-0;Services;All;;;Microsoft;SAP;;IT;;;;Internet of Things;Intelligent Apps;Artificial Intelligence;Virtual Reality
Infrastructure as a service;;https://www.delaware.pro/en-BE/Solutions/Infrastructure-as-a-service;Services;All;;;Microsoft;SAP;;IT;;;;None;;;
Master data management;;https://www.delaware.pro/en-BE/solutions/master-data-management;Services;All;;;None;;;IT;Marketing;;;None;;;
Training & end-user productivity;;https://www.delaware.pro/en-BE/solutions/training-and-end-user-productivity;Services;All;;;Microsoft;SAP;;HR;;;;None;;;
Data is the new oil;;https://www.delaware.pro/en-BE/Solutions/Data-and-analytics;Services;All;;;Microsoft;SAP;Tableau;Operations;Strategy;Finance;;None;;;
Controlling & reporting;;https://www.delaware.pro/en-BE/Solutions/Controlling-and-reporting;Services;All;;;SAP;Microsoft;Tableau;Operations;Finance;Strategy;;None;;;
Data management & governance;;https://www.delaware.pro/en-BE/Solutions/Data-management-and-governance;Services;All;;;Microsoft;SAP;;Strategy;Finance;;;None;;;
Data science;;https://www.delaware.pro/en-BE/Solutions/Data-science;Services;All;;;Microsoft;SAP;;Strategy;;;;None;;;
The data-driven organization;;https://www.delaware.pro/en-BE/Solutions/Data-driven-organization;Services;All;;;Microsoft;SAP;;Strategy;;;;None;;;
Visual analytics;;https://www.delaware.pro/en-BE/Solutions/visual-analytics;Services;All;;;Tableau;Microsoft;;Strategy;;;;None;;;
Investing deeply in people;;https://www.delaware.pro/en-be/solutions/put-your-employees-first;Services;All;;;SAP;;;Operations;Strategy;HR;IT;None;;;
Information management;;https://www.delaware.pro/en-BE/Solutions/Information-management;Services;All;;;All;;;Strategy;;;;None;;;
Manage your human capital;;https://www.delaware.pro/en-BE/Solutions/Manage-your-human-capital;Services;All;;;SAP;;;HR;;;;None;;;
Office productivity;;https://www.delaware.pro/en-BE/Solutions/Office-productivity;Services;All;;;Microsoft;;;Operations;IT;;;None;;;
Your digital workplace;;https://www.delaware.pro/en-BE/Solutions/Your-digital-workplace;Services;All;;;Microsoft;;;Operations;HR;Finance;Strategy;None;;;
Every industry is vastly different;;https://www.delaware.pro/en-BE/Solutions/Industries;Services;All;;;All;;;Operations;Finance;IT;Marketing;Augmented Reality;Artificial Intelligence;Internet of Things;Beacons
Automotive;;https://www.delaware.pro/en-BE/Solutions/Automotive;Services;Automotive;;;SAP;;;Operations;Finance;IT;;Augmented Reality;Artificial Intelligence;Internet of Things;
Chemicals;;https://www.delaware.pro/en-be/solutions/harnessing-the-chemistry-of-digital-transformation;Services;Chemicals;;;SAP;;;Operations;Finance;IT;;Internet of Things;Artificial Intelligence;;
Discrete manufacturing;;https://www.delaware.pro/en-BE/Solutions/Discrete-manufacturing;Services;Discrete Manufacturing;;;Microsoft;SAP;;Operations;IT;Finance;;Artificial Intelligence;;;
Food;;https://www.delaware.pro/en-be/solutions/food-industry;Services;Food;;;SAP;;;Operations;Finance;IT;;Artificial Intelligence;Internet of Things;;
Engineering & projects;;https://www.delaware.pro/en-BE/Solutions/Engineering-projects;Services;Enigneering & Projects;;;Microsoft;SAP;;IT;Operations;Finance;;Internet of Things;;;
Professional services;;https://www.delaware.pro/en-be/solutions/professional-services;Services;Professional Services;;;SAP;;;Operations;Finance;IT;;Cloud;;;
Retail and consumer markets;;https://www.delaware.pro/en-BE/Solutions/Retail-and-Consumer-Markets;Services;Retail;;;SAP;;;Operations;Marketing;IT;Finance;Beacons;;;
Textiles;;https://www.delaware.pro/en-BE/Solutions/Textiles;Services;Textiles;;;Microsoft;;;IT;Operations;Finance;;None;;;
Utilities;;https://www.delaware.pro/en-BE/Solutions/Utility-Industry;Services;Utilities;;;All;;;Operations;Marketing;Strategy;Finance;Virtual Reality;;;
Aprimo;;https://www.delaware.pro/en-BE/Solutions/Aprimo;Services;All;;;Aprimo;;;Marketing;Operations;;;None;;;
Episerver;;https://www.delaware.pro/en-BE/Solutions/Episerver;Services;All;;;Episerver;;;Marketing;;;;Intelligent Apps;Cloud;;
inRiver;;https://www.delaware.pro/en-BE/Solutions/InRiver;Services;All;;;Inriver;;;Marketing;;;;None;;;
Microsoft Azure;;https://www.delaware.pro/en-BE/Solutions/Microsoft-Azure;Services;All;;;Microsoft;;;IT;;;;Cloud;;;
Microsoft Biztalk and Logic Apps;;https://www.delaware.pro/en-BE/Solutions/Microsoft-BizTalk-Logic-Apps;Services;All;;;Microsoft;;;IT;;;;None;;;
Microsoft Cortana Intelligence;;https://www.delaware.pro/en-BE/Solutions/Microsoft-Cortana-Intelligence;Services;All;;;Microsoft;;;Strategy;;;;Artificial Intelligence;;;
Microsoft Dynamics 365;;https://www.delaware.pro/en-BE/Solutions/Microsoft-Dynamics-365;Services;All;;;Microsoft;;;Finance;Operations;;;None;;;
Microsoft Office 365;;https://www.delaware.pro/en-BE/Solutions/Office-365;Services;All;;;Microsoft;;;Operations;;;;None;;;
Microsoft Power BI;;https://www.delaware.pro/en-BE/Solutions/Microsoft-Power-BI;Services;All;;;Microsoft;;;Strategy;;;;None;;;
OpenText;;https://www.delaware.pro/en-BE/Solutions/OpenText;Services;All;;;OpenText;;;Operations;Strategy;;;None;;;
SAP Analytics Cloud;;https://www.delaware.pro/en-BE/Solutions/SAP-Analytics-Cloud;Services;All;;;SAP;;;Strategy;Operations;;;None;;;
SAP Ariba;;https://www.delaware.pro/en-BE/Solutions/SAP-Ariba;Services;All;;;SAP;;;Operations;;;;None;;;
SAP Hybris;;https://www.delaware.pro/en-BE/Solutions/SAP-Hybris;Services;All;;;SAP;;;Marketing;;;;None;;;
SAP IBP;;https://www.delaware.pro/en-BE/Solutions/SAP-Integrated-Business-Planning;Services;All;;;SAP;;;Operations;Strategy;Finance;;None;;;
SAP MII;;https://www.delaware.pro/en-BE/Solutions/SAP-MII;Services;All;;;SAP;;;Operations;;;;None;;;
SAP on Azure;;https://www.delaware.pro/en-BE/Solutions/SAP-on-Azure;Services;All;;;SAP;;;IT;;;;None;;;
SAP PO/HCI;;https://www.delaware.pro/en-BE/Solutions/SAP-PO-HCI;Services;All;;;SAP;;;IT;;;;Cloud;;;
SAP S/4HANA;;https://www.delaware.pro/en-BE/Solutions/SAP-S4HANA;Services;All;;;SAP;;;IT;Finance;Operations;;None;;;
SAP S/4HANA Public & Private cloud;;https://www.delaware.pro/en-BE/Solutions/SAP-S4HANA-Cloud;Services;All;;;SAP;;;IT;Finance;Operations;;Cloud;;;
SAP SCP;;https://www.delaware.pro/en-BE/Solutions/SAP-Cloud-Platform;Services;All;;;SAP;;;IT;;;;Cloud;;;
SAP SuccessFactors;;https://www.delaware.pro/en-BE/Solutions/SAP-SuccessFactors;Services;All;;;SAP;;;HR;;;;None;;;
Selligent;;https://www.delaware.pro/en-BE/Solutions/Selligent;Services;All;;;Selligent;;;Marketing;;;;Cloud;;;
SiteCore;;https://www.delaware.pro/en-BE/Solutions/Sitecore;Services;All;;;Sitecore;;;Marketing;;;;None;;;
Tableau;;https://www.delaware.pro/en-BE/Solutions/Tableau;Services;All;;;Tableau;;;Strategy;IT;;;None;;;
